YEAR,ENTITY,DEBT_NAME,ORIGINAL_AMOUNT,OUTSTANDING_FYE,PROJECT,DEBT_TYPE,HAS_DEBT,SOURCE_SHEET
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bond 2014 Series C,8328266.0,385568.0,Montgomery Bell Academy,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bonds,30000000.0,16800000.0,Montgomery Bell Academy,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bonds Series 2003,42340000.0,4234000.0,David Lipscomb University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Subordinate Multifamily Housing Revenue Bonds (Preserve at Highland Ridge Project),1725000.0,1365625.0,Preserve at Highland Ridge Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Tax-Exempt Adjustable Mode Exempt Facilities Revenue Bonds Series 2001,10000000.0,3333340.0,"Waste Management, Inc. of Tennessee Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Multifamily Housing Revenue Bonds Series 2003,19985000.0,7993994.0,Stewarts Ferry Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Multifamily Housing Revenue Refunding Bonds Series 2003,4750000.0,1900006.0,Hickory Trace Apartments,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Multifamily Housing Revenue Refunding Bonds Series 2004,22554000.0,9773400.0,Ridgelake Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,"Variable Rate Demand Multifamily Housing Revenue Refunding Bonds, Series A 1997",8540000.0,1707992.0,Crossings of Bellevue Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Revenue Bonds Series 2005,14000000.0,5040000.0,Franklin Road Academy Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Revenue Bonds Series 2006,4600000.0,1463635.0,Trevecca Nazarene University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Revenue Bonds Series 2006,23000000.0,7318175.0,Unknown,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Variable Rate Demand Revenue Bonds Series 2008,11160000.0,7533000.0,Lipscomb University Project,Conduit,True,2021
